שם מלא,תפקיד,רקע מקצועי
עזיז אברהים,"קצין רפואה אוגדה, צה״ל","קצין רפואה בצהל בדרגת סגן אלוף
 בוגר תואר ראשון בסיעוד האונ׳ העברית 
בוגר תואר שני במזרח תיכון אונ׳ חיפה"
מבורך יתברך אברהם,"קצין אג""מ מחוז ש""י במשטרת ישראל","מבורך הוא מפקד תחנת קריית מלאכי במשטרת ישראל. לצד תפקידו, הוא מוביל במחוז מרכז את תוכנית מפקד כחונך, שמטרתה לתת כלים לקצינים בתפקידם הראשון בשטח בהיבטי מנהיגות, פיקוד, ניהול, מקצועיות ופיתוח אישי. בתפקידיו הקודמים היה סגן מפקד משטרת נתניה, סגן מפקד משטרת שדות בקדימה צורן, ראש לשכת שיטור וקהילה של מרחב שרון בכפר סבא ומפקד מרכז שליטה של מחוז מרכז ברמלה, שאליו מתנקזות כל הפניות הטלפוניות של כ-2 מיליון תושבי המחוז. בעבר הוא גם כיהן כקצין אג""מ של משטרת ראשון לציון וראש משרד קהילה ומשמר אזרחי בראשון לציון. בתחילת דרכו כקצין במשטרה ביצע תפקידי שטח רבים, ובהם קצין סיור במשטרת לוד, קצין מבצעים, קצין הדרכה ומפקד מחלקה במג""ב. את שירותו הביטחוני החל מבורך בשנת 1991 כשהתגייס למג""ב, והוא בוגר בה""ד 1."
נפתלי אברהם,עובד במיזם הקשור לגיל השליש,"נפתלי הוא מנכ""ל המרכז למורשת יהדות אתיופיה. בתפקידו הקודם הוא היה מנכ""ל טק-קריירה - ארגון המסייע לצעירים ולצעירות יוצאי אתיופיה לרכוש קריירה בעולם ההייטק ולפתח עצמאות כלכלית באמצעות הכשרה טכנולוגית, סדנאות העשרה, פיתוח אישי ושירותי השמה. כמו כן, קרוב לעשור, הוא חבר ועד מנהל בעמותת עולים ביחד שהוא שותף בייסודה ובמסגרת תפקידו גייס מעסיקים וארגונים לתוכנית ואלפי מתנדבים לעמותה. במקביל, הוא משמש כמרצה בנושא קושי כמנוף להצלחה במגוון מסגרות, עוסק בקידום יוצאי אתיופיה להשתלבות ממנפת בצה""ל ומייסד צוות לקידום ולשילוב יוצאי אתיופיה במערך הטכני של חיל האוויר. קודם לכן, עסק נפתלי בליווי צוותי הדרכה במסגרת הקמת אשבל - פנימייה לנוער בסיכון."
מירי אברהם,מנהלת האחיות במרכז הרפואי שמיר,"בשיאו של הגל הראשון של מגיפת הקורונה במרץ 2020, מירי מונתה לתפקיד מנהלת הסיעוד של המרכז הרפואי שמיר - אסף הרופא. טרם מינויה לתפקיד זה, מילאה מגוון תפקידי מטה, ניהול ופיקוד. את דרכה המקצועית החלה בצה""ל ושירתה 10 שנים כקצינה בשירות קבע בתפקידים שונים בחיל הרפואה. בשנת 2004 מונתה לאחות אחראית מלר""ד, ומשם התקדמה להנהלת הסיעוד כמרכזת תחום פיתוח מקצועי, הבטחת איכות וריכוז חטיבת מיילדות וגניקולוגיה. במהלך השנים שמשה כמרצה אורחת בביה""ס לסיעוד בתחומי רפואת חירום ניהול ומנהיגות. יצאה כחברה במשלחת חילוץ והצלה להודו לאחר רעידת האדמה בשנת 2001."
אורי אברהם,"מנכ""ל קלאסוס","אורי עוסק בחיבור בין חינוך וטכנולוגיה ב-15 השנים האחרונות. הוא סמנכ""ל תפעול במטיפיק (עשר אצבעות) מאז 2017, ולפני כן ניהל את הפעילות העסקית של החברה בישראל. בעבר ניהל את הפעילות של עמותת יוניסטרים ואת מחלקת הפרויקטים בעמותת תפוח - Appleseeds."
מרב אברהמי,"סמנכ""ל לעניינים אקדמיים ומזכיר המל""ג","מרב היא סמנכ""ל לעניינים אקדמיים ומזכיר המועצה להשכלה גבוהה. 
במסגרת תפקידה היא מנהלת את הצוות המקצועי של האגף האקדמי במל""ג, אחראית על כלל המוסדות להשכלה גבוהה ועל כלל תוכניות הלימודים האקדמיות וכן על מינוי פרופסורים במערכת ההשכלה הגבוהה.
בימים אלו מרב מובילה את תהליכי הרה אקרדיטציה המתגבשים במערכת ההשכלה הגבוהה ויהוו רפורמה בתהליכי האקרדיטציה אשר עתידים לשנות את תהליכי העבודה הנהוגים מזה שנים.
בעבר, הובילה את נושא הנגשת ההשכלה הגבוהה לאוכלוסיות מיוחדות ואת מעבר מערך המכינות הקדם אקדמיות לאחריות מל""ג- ות""ת. 
מרב שותפה בעבודת המטה המרכזית של מל""ג ות""ת ובקביעת מדיניות בנושאים הקשורים לתחום האקדמי. 
כמזכיר המל""ג מרב אחראית על פעילותן של מליאת המל""ג וועדות המשנה שלה."
שלמה אברמזון,ראש תחום ביטחון ותפקידים מיוחדים בפרקליטות המדינה,"שלומי הוא ראש תחום ביטחון ותפקידים מיוחדים בפרקליטות המדינה. במסגרת תפקידו הוא מרכז נושאים בעלי רגישות ציבורית גבוהה כגון: עבירות ביטוי, עבריינות אידיאולוגית, דיני לחימה ונושאים ביטחוניים. בנוסף, הוא עומד בראש פורום הסתה והוביל שינוי משמעותי באכיפה בתחום זה ומשמש כממונה על בירור תלונות נחקרים בשב""כ. 
בין השאר, היה שלומי אחראי על עבודה הפרקליטות סביב אירועי ""שומר חומות"" והטיפול בעבירות ההסתה סביב מלחמת ""חרבות ברזל"".
לאחרונה, מלווה ואחראי מטעם הפרקליטות על תוכנית ""עוצרים את הדימום"", תוכנית ניסיונית של שילוב ידיים בין כלל הגופים להפחתת האלימות בחברה הערבית.
בעבר,  עבד במחלקה לחקירות שוטרים בפרקליטות, שם עסק בתיקים מורכבים בתחום השחיתות, עבירות מין ואלימות חמורה. 
פעילותו החברתית של שלומי כוללת את הקמתה של קרן פסיפס שהוא חבר בוועד המנהל שלה. בנוסף, הוא היה חבר בוועדים המנהלים של עמותת מעגלי צדק הנאבקת למען צדק חברתי ברוח היהדות ושל עמותת דולב בהרים המנהלת קהילה דתית-חילונית משותפת במושב נס הרים.
שלומי תרם כליה לרבקה."
שמואל אברמזון,הכלכלן הראשי במשרד האוצר,"שמואל מכהן ככלכלן הראשי במשרד האוצר - האחראי על המחקר והתחזיות הכלכליות, על גיבוש מדיניות הכנסות המדינה ועל הקשרים הבינלאומיים של משרד האוצר. בתפקידו הקודם היה סגן הכלכלנית הראשית. לפני כן כיהן כראש אגף מחקר במועצה הלאומית לכלכלה, משרד ראש הממשלה. קודם לכן, שימש כחוקר בכיר בפורום קהלת וכאנליסט בתאגיד ראנד בארצות הברית. לאורך השנים עסק במחקר ובקידום רפורמות בתחומי שוק ההון, חיסכון פנסיוני, אנרגיה, בטחון וכלכלה, ומדיניות מקרו-כלכליות. לשמואל דוקטורט בניתוח מדיניות ממכון ראנד בארה""ב, בנושא החלטות כלכליות תחת אי ודאות. כמו כן, לשמואל תארים ראשון ושני בתחומי הכלכלה מהאוניברסיטה העברית."
מאיר אגאי,"מנכ""ל מינהל קהילתי רמות אלון בירושלים","מאיר הוא מנכ""ל מינהל קהילתי רמות אלון בירושלים. רמות הינה שכונה המונה כ65,000 תושבים. לפני כן ניהל את מינהל קהילתי הרובע היהודי בירושלים. לפני כן ניהל כשלוש שנים את תוכנית עיר ללא אלימות של המשרד לביטחון פנים בביתר עילית ובמסגרת תפקידו פעל לשיפור תחושת הביטחון ולחיזוק הקשר שבין הנהגת העיר לגורמי אכיפת החוק. בעבר, במשך חמש שנים, הוא ואשתו היו הורי בית ל-12 נערים במשפחתון שיקומי/טיפולי לנוער חרדי בסיכון בפנימיית קריית הילד."
גומעה אגבאריה,גזבר עירית אום אל פחם,"ג'ומעה הוא גזבר עיריית אום אל פחם מאז שנת 2013. קודם לכן ניהל משרד ראיית חשבון שעסק בביקורת רשויות מקומיות ובהכנת דוחות כספיים של רשויות מקומיות, חברות, עמותות ועצמאיים. כמו כן עסק בביקורת פנים של תאגיד מים ושל ועדת תכנון ובנייה."
