שם מלא,תפקיד,רקע מקצועי
אסיף אלמוזני,"סמנכ""ל מו""פ, המרכז לחינוך סייבר","אסיף השתחרר מצה""ל לאחר שרות כקצין תוכנה בממר""ם ואחראי על ההכשרה של ההון האנושי בתחום התוכנה בצבא. עבד בתעשיית ההייטק במספר תפקידים והוביל פרויקטים טכנולוגים רחבים ומגוונים. בשנים האחרונות ביצע מעבר למגזר החברתי בהובלה של תחום המחקר והפיתוח במרכז לחינוך סייבר וכיום מוביל את הפיתוח ואת הניהול של התוכניות בארגון."
נתנאל (מיקי) אלמקיאס,"מפקד בה""ד 10, חיל הרפואה, צה""ל","מיקי מפקד על בה""ד 10, בית הספר לרפואה צבאית. בתפקידו הקודם שימש מיקי כראש ענף הפעלה בחיל הרפואה בצה""ל. מיקי הוא קצין ארגון רפואה שמילא מגוון תפקידים בעולמות הפיקוד, האימונים וההדרכה. בין השנים 2020-2021 פיקד על מרפ""א 8282 (צריפין). לפני כן שימש כראש ענף אימוני רפואה קרבית והיה אמון על הכנת יחידות הרפואה בצה""ל למלחמה.
מיקי לקח חלק בסיוע הומניטרי בטיפול בפצועים הסורים בין השנים 2015-2018 ובשנת 2019, עם פרוץ נגיף הקורונה מונה על ידי קצין רפואה ראשי לרכז תחום זה בחיל הרפואה."
פאדי אלעוברה,מנהל המיזם למיגור הפשיעה והאלימות בחברה הערבית,"פאדי הוא מייסד ומנכ""ל שותף בחברת TALENTEAM לגיוס והשמה של אקדמאים ערבים. בהיותו יזם עסקי-חברתי סדרתי, הוא הקים וניהל עסקים חברתיים מצליחים, ובראשם חברת Duroos להנגשת ההשכלה הגבוהה בחברה הערבית, ובזכות פעילותו זכה בפרסים מקומיים ובינלאומיים. בעבר הוא ניהל תוכניות במיזם Collective Impact והוביל את הנגשת המועמדים לחברות העסקיות הפעילות במיזם, תוך התוויית אסטרטגיית הפעילות והסורסינג והוצאתה אל הפועל בעזרת פיתוח מודלים וכלים חדשים לצד תכלול השירותים הקיימים בין העמותות השותפות."
דני אלעזר,"מנכ""ל עמותת יד ביד - המרכז לחינוך יהודי-ערבי","דני הוא מנכ""ל עמותת יד ביד - המרכז לחינוך יהודי-ערבי. בתפקידו הקודם שימש כסגן נשיא מכון הרטמן ומנהל תוכנית בארי - להעמקת זהות יהודית-ישראלית פלורליסטית במערכת החינוך הממלכתית. הוא ממקימי יחד מודיעין - עמותה הדוגלת בחינוך וחיים קהילתיים משותפים של משפחות בעלות אורחות חיים יהודיים שונים על בסיס המורשת היהודית. בנוסף, היה חבר בוועדות היגוי של זהות יהודית-ישראלית של העיר מודיעין ושל תוכניות שותפות מודיעין - רוצ'סטר. את שירותו הצבאי עשה דני במודיעין ביחידה 8200."
לינה אלעטאונה,מנהלת פרויקטים במכון ברנקו וייס,"בשנת 2016 הצטרפה לינה לפרויקט ואדי עתיר כמנהלת ארגון, שיטות ופיתוח משאבים. ב-2017 התווסף לתפקידה גם ניהול המחלבה של הפרויקט. בפברואר 2018 נבחרה למנכ""לית הפרויקט."
איברהים אלעטאונה,מנהל מרכז החוסן לחברה הבדואית,"מנהל מרכז החוסן לחברה הבדואית  פסיכולוג חינוכי-מדריך. עובד במרכז החוסן מאז הקמתו ב2016 תחילה הקמתי ונהלתי את היחידה הקלינית ובשש שנים האחרונות מנהל את המרכז. עבדתי כעשור בשירות הפסיכולוגי של עיריית באר שבע. עסקתי  בטיפול, הנחייה ומתן הרצאות. מתעניין בבריאות נפש מודעת הקשר ועוסק בפיתוח תכניות ומודלי התערבות מודעי הקשר. כמנהל מרכז חוסן אני מקדם לאחרונה תהליכי הערכה וחילוץ ידע בהקשר של חוסן וטראומה בחברה הבדואית."
אדורה אלעיס,מנהלת תחום חינוך במטה הלאומי להגנה על ילדים במוקד 105,"אדורה היא נציגת משרד החינוך במטה הלאומי להגנה על ילדים ברשת - מוקד 105. יועצת חינוכית בהכשרתה. את דרכה החלה כיועצת חינוכית בבית הספר האורתודוקסי ברמלה. בהמשך שימשה כיועצת גיל רך מחוזית בחברה הערבית במחוז מרכז, וכן מדריכה לאקלים חינוכי מיטבי בחברה הערבית. אדורה כיהנה במשך שנתיים בתפקיד ממלאת מקום המפקחת על הייעוץ בחברה הערבית במחוז המרכז. כיום היא יועצת בכירה בחברה הערבית במחוז המרכז ומדריכה ארצית המרכזת את תחום האקלים ומניעת האלימות בחברה הערבית. במסגרת תפקידיה היא רפרנטית גיל רך ומפקחת מתכללת בחירום. בנוסף, היא חברה בוועדת ערכים. אדורה השתתפה בכנסים ונשאה במחוז המרכז הרצאות על מנהיגות נשים, פיתוח מקצועי ופערים מגדריים במערכת החינוך ורשתיות."
מחמוד אלעמור,"מנכ""ל החברה הכלכלית ברהט","מחמוד הוא מנכ""ל החברה הכלכלית ברהט. בתפקידו הקודם הוא כיהן כמנהל מרכז ריאן לקידום התעסוקה בחברה הבדואית בנגב - פרויקט משותף של משרד הכלכלה ומשרד ראש הממשלה בשיתוף ג'וינט ישראל ובניהול חברת אלפנאר. בשנים 2009-2004 הוא היה מנהל אגף החינוך הבלתי פורמלי בעיריית רהט ובשנים 2003-1999 ניהל את הרשות העירונית למלחמה בסמים ברהט. בעבר, במשך שש שנים, שימש מחמוד כמורה וכמחנך בבתי ספר ברהט."
יאסר אלעמור,מלווה הקמת מרכזי גישור בחברה הערבית הבדואית ויועץ ארגוני ואקדמי באונ בן גוריון,"יאסר מנהל את אגף הרווחה בכסייפה. הוא הוסמך להיות עובד סוציאלי בשנת 1997 ומאז עסק במשך שנים בתחום הרווחה. בד בבד, עבד בייעוץ אקדמי באוניברסיטת בן גוריון ובפיתוח אזורי תעשייה במחוז דרום במשרד הכלכלה. מתחילת 2015 הוא כיהן כמבקר פנים וכנציב תלונות הציבור במועצה אזורית אלקסום."
יוסף אלעמור,מייסד ומנכ״ל עמותת לנה,"במשך שנים יוסף עובד ומתנדב בתחום החברתי קהילתי. משנת 2017 שימש כמנכ""ל עמותת לנה לקידום החינוך והרווחה בחברה הבדואית בדרום. במסגרת תפקידו זה לפתח שותפויות וכניסת פרויקטים חדשים בתחום הרווחה והחינוך בחברה הבדואית. במקביל, שימש כמנהל אגף חינוך בעמותת ינאביע. קודם לכך היה בתפקיד מנהל וממקימי סניף בית אלאמל של ארגון בית הגלגלים לטובת אנשים עם צרכים מיוחדים בחברה הבדואית. את דרכו התחיל בחינוך כמורה בבית ספר מקיף אלפארוק בכסיפה ושימש במגוון תפקידים ובצוות המוביל של בית הספר."
פואד אלצאנע,אחראי רפואת ילדים במחוז דרום בשירותי בריאות כללית,"החל מ 2023 דר פואד משמש בתפקיד אחראי  על רפואת הילדים במחוז דרום בשירותי בריאות כללית.
בשנים 2017-2024 שימש דר פואד מנהל מנהלת נגב דרומי במחוז דרום.  בשנים 2016-2017 יצא לפילושיפ בתחום התפתחות הילד עם דגש על אוטיזם בבית החולים Royal Children Hospital   במלבורן אוסטרליה. בין השנים 2005 ועד 2016 שימש כמנהל מרפאת כללית בערוער בנגב. לפני כן, ובמשך 5 שנים עבד פואד כרופא ילדים במרכז בריאות הילד של כללית בתל שבע. במסגרת עשייתו החברתית, שימש פואד עד לפני כשנתיים כחבר ועד מנהל בעמותת גושן, וב 5 שנים אחרונות הוא משמש יו""ר עמותת ""אלבאכור"" לקידום הילדים בגיל הרך בחברה הערבית , כמו כן מאז 2020 הוא חבר ועד מנהל בפרויקט רוזנה ""RozanaProject"", וחבר ועד מנהל בעמותת ""סויטש"" לקידום התעסוקה של נשים בחברה הבדואית. פואד הוא רופא ילדים מומחה, בוגר לימודי רפואה בטכניון בחיפה .את ההתמחות שלו ברפואת ילדים הוא עשה בבית החולים סורוקה באר שבע"
ג'בר אבו אלקיעאן,"מפקח רשותי במשרד החינוך, מינהל חברה ונוער, מחוז דרום, באר שבע","ג'בר הוא מפקח רשותי במשרד החינוך, מינהל חברה ונוער, מחוז דרום, באר שבע. לפני כן היה מפקח חינוך בלתי פורמלי במינהל חברה ונוער במחוז דרום, משרד החינוך. במסגרת תפקידו היה ממונה על החינוך הבלתי פורמלי בחברה הבדואית בדרום ופיקח על החינוך החברתי, הקהילתי והערכי, על המעורבות החברתית ועל מועצות התלמידים בשעות בית הספר. בשעות אחר הצהריים היה אחראי על הפעילות הבלתי פורמלית ועל תרבות הפנאי ברשויות המקומיות, המתקיימת במסגרת מחלקות הנוער, ועל הפעילות החברתית הקהילתית, התנועות וארגוני הנוער ועל המנהיגות הצעירה, הייצוגית והייעודית. הוא ריכז מטעם המחוז את תוכנית אתגרים לקידום החינוך הבלתי פורמלי בחברה הערבית הבדואית בדרום. בשנים 1998–2007 עבד ג'אבר בבית הספר מקיף עמל תל שבע ומילא שם שורה של תפקידים: מורה, מחנך, רכז שכבה, מורה לאנגלית ולגיאוגרפיה, מדריך של""ח וידיעת הארץ, רכז טיולים, רכז חינוך חברתי וחבר צוות הנהלה. כמו כן היה שותף בצוות המחוזי של כותבי התוכניות ומנחי של""ח במחוז. בנוסף, היה מדריך ורכז נוער, מדריך נוער בסיכון ומדריך טיולים וחוגי סיור בחברה להגנת טבע, ושימש כמורה חונך למורים חדשים בגיאוגרפיה ושל""ח ובידיעת הארץ."
אופיר אלקלעי,יו״ר הסתדרות עובדי המדינה,"אופיר משמש כיו״ר הסתדרות עובדי המדינה. כמו כן הוא מכהן כיו""ר בגופים הבאים: עיתון דבר, עמותות לקידום מקצועי החברה למפעלי כלכלה, קרן לביטוח הדדי, קרן הגמלאי המדינה. בנוסף משמש כחבר דירקטוריון, המסלול האקדמי מכללה למנהל, מכון אבשלום, פורום ארלוזורוב, בית בן גוריון בתל אביב. אופיר משמש גם כחבר במועצת הביטוח הלאומי וחבר בוועדת המינויים של הביטוח הלאומי."
גלילה אלקרינאוי,מנהלת עמותת פלאיי - מנוף לצמיחה חברתית וחינוכית,"ג'לילה היא מנהלת עמותת פלאיי-מנוף לצמיחה חברתית וחינוכית. לפני כן שימשה כמנהלת ליווי עסקי במעוף - הסוכנות לעסקים קטנים ובינוניים, ומנהלת מרכז עסקים ברהט וביישובים הבדואים. במסגרת תפקידה הקודם הייתה אמונה על תחום יוזמות עסקיות של נשים בדואיות מכל אזור הנגב, על פיתוח פרויקטים ועל ניהול פורומים של נשות עסקים. בנוסף, היא מלווה ומתאמת בין בעלי העסקים לבין סל השירותים של הסוכנות לעסקים קטנים ובינוניים במשרד הכלכלה. לפני כן הייתה ג'לילה פרויקטורית התיירות הבדואית ברשות לפיתוח הנגב והגליל וכיהנה כחברת מליאה ברשות השידור וכחברת דירקטוריון במשרד התרבות. בשנת 2010 הקימה את מחלקת אוכלוסיות מיוחדות במתנ""ס רהט וניהלה אותה. בשנת 2008 הקימה וניהלה בארגון קשר פרויקט הורים לילדים בעלי צרכים מיוחדים בחברה הבדואית. בשנת 2007 ניהלה בארגון שתיל פרויקט להעצמת נשים בדואיות. במסגרת התפקיד פיתחה פרויקטים לשילוב נשים בדואיות בקהילה ובתעסוקה."
אמין אלקרינאוי,מנהל לשכת באר שבע בשירות התעסוקה,"אמין מנהל לשכת באר שבע בשירות התעסוקה. לפני כן ניהל את לשכת שירות התעסוקה ברהט, אשר שינתה את תדמיתה והייתה לגוף דומיננטי ובעל משמעות בעיר רהט ובסביבתה. זאת, בזכות גיוס מעסיקים, הצעת משרות מגוונות לתושבי העיר ואספקת שפע כלים תומכי השמה – במיוחד לנשים. בנוסף, אמין מנהל את תוכנית מעגלי תעסוקה בעיר, שמטרתה לצמצם את התלות של מובטלים בקצבאות באמצעות מתן כלים לשיפור המסוגלות התעסוקתית שלהם. בתפקידיו הקודמים ניהל צוות עובדים בחברת החשמל בתחום שירות הלקוחות והוביל את פרויקט נתיב האור לשימוש מושכל ובטיחותי בחשמל במחוז הדרומי."
נעמה אלקריף,"מנהלת אגף חינוך על יסודי, רשת בני יוסף מנהלת פיתוח מקצועי","החל מינואר 2021 מנהלת אגף בכיר - האגף לחינוך על יסודי ברשת בני יוסף- מעין החינוך התורני, - מובילה  הקמת מוסדות חדשים אחראית על פיתוחם ושיגשוגם החינוכי. 
עד דצמבר 2020 מנהלת מוסדות מעין חיים ושלום באשקלון,
 יוזמת ומובילה פרויקטים חינוכיים לפיתוח וקידום חינוכי  בפריפריה, ובפרפריה החברתית, 
פועלת במטרה לצמצום פערי הזדמנויות ולקידום הפרפריה החברתית, ולמימוש פוטנציאל המצוינות שלה."
סולטן אלקרעאן,מנהל מחלקת חינוך במועצה המקומית כסיפה,"סולטן הוא מנהל מחלקת החינוך במועצה המקומית כסיפה החל משנת 2017. לפני כן ניהל בית ספר יסודי במשך שמונה שנים ועבד כמורה במשך שמונה שנים. לסולטן ותק של 18 שנים במערכת החינוך בשלל תפקידים של ריכוז וחינוך. במקביל, בשנים 2005 -2015 שימש במסגרת קרן רש""י כראש צוות בעמותת יכולות הפועלת לצמצום פערים והגברת התמדה והעלאת אחוז זכאות לבגרות בקרב תלמידים מהמגזר הבדואי והיה אחראי על תקציב של מיליוני שקלים מדי שנה."
מוחמד עבד אלרחמן,מנהל מחוז צפון קופת חולים מאוחדת,"החל מינואר 2023 מכהן כמנהל מחוז צפון של קופת חולים מאוחדת. מחוז צפון משתרע מצפון רמת הגולן ועד לחדרה וואדי ערה ובו מעל ל-200 מתקנים המעניקים שירותי רפואה מקצועיים למעל כ-300,000 מבוטחים. 

בשנת 2020 מינוי למנהל אגף הלקוחות בנוסף לאגף התפעול . 

בשנת 2018- מנהל אגף התפעול- תפעול ובקרה על המתקנים הרפואיים במחוז צפון, לוגיסטיקה, אחזקה ועוד.

בשנת 2014 מינוי למנהל אשפוזי בית- ניהול איכות הרפואה, השירות והמשך הטיפול למבוטחי אשפוז בית.

שנת 2011 - תחילת דרכי בקופ''ח מאוחדת, אח מוסמך ומנהל מרפאות כאבול.

בשנת 2009-יזמות בתחום הWEB"
שרון אלרעי-פרייס,"ראש חטיבת בריאות הציבור, משרד הבריאות","ד""ר שרון אלרעי-פרייס היא ראש חטיבת בריאות הציבור במשרד הבריאות. בשנת 2020, בתחילת מגיפת הקורונה, הצטרפה למשרד הבריאות להוביל את ההתמודדות הלאומית עם הפנדמיה. ד״ר אלרעי פרייס היתה אחראית על קביעת המדיניות המקצועית בזמן המגיפה ועל בדיקת היעילות והבטיחות של חיסוני הקורונה בזמן אמת- עבודה שהיתה פורצת דרך ברמה הבינלאומית. על התמודדותה במהלך המגיפה זכתה ד״ר אלרעי פרייס בפרסים שונים. 
קודם לכן היתה סגנית מנהל המרכז הרפואי כרמל בחיפה וניהלה את מערך האיכות והבטיחות.  במסגרת תפקידה הייתה אחראית על הובלת פרויקטים לשיפור איכות ובטיחות הטיפול בבית החולים, על ניתוח אירועים חריגים ועל הובלת בית החולים בהכנות למבדק האקרדיטציה (JCI). קודם לכן היא שימשה בבית החולים כרופאה בכירה במערך הפנימי וביחידה למחלות זיהומיות ולמניעת זיהומים. בשנים 2013-2010 היא הייתה האפידמיולוגית הראשית של מדינת ניו המפשייר (New Hampshire State Epidemiologist) ובמסגרת תפקידה הייתה הגורם המנחה והמפקח בנושא בריאות הציבור בהיבט של מחלות זיהומיות במדינה, אחראית על חקירת התפרצויות מחלות זיהומיות, והגורם המקשר בין משרד הבריאות לבין המרכז לבקרת מחלות ומניעתן (ה- CDC). 
שרון סיימה לימודי רפואה בהצטיינות בטכניון וסיימה סטאז׳ בהצטיינות במרכז הרפואי רמב״ם. היא מומחית ברפואה פנימית, בבריאות הציבור, ברפואה מונעת ובמנהל רפואי, וסיימה התמחות במחלות זיהומיות ומניעת זיהומים בארצות הברית. את ההתמחות ברפואה פנימית עשתה במרכז הרפואי כרמל בחיפה, ואת ההתמחויות במחלות זיהומיות וברפואה מונעת עשתה ב-Dartmouth-Hitchcock Medical Center בארצות הברית. שרון סיימה את התוכנית היוקרתית – Leadership in Preventive Medicine ב-Dartmouth College, שמטרתה להכשיר רופאים מובילי איכות, והייתה המתמחה הראשית בה (Chief Resident). במסגרת התכנית סיימה MPH ב- Dartmouth college.
עם חזרתה מארה״ב לארץ הצטרפה לתכנית ענבר, במסגרתה סיימה התמחות במנהל רפואי ותואר MBA בהצטיינות מאוניברסיטת תל אביב."
עותמאן אלשייך,"מנכ""ל חברת סיראג' טכנולוגיות","עותמאן הוא מנכ""ל חברת סיראג' טכנולוגיות. במסגרת תפקידו הוא מוביל את החברה אשר מפתחת מוצרים ובפתרונות בעולמות ""האינטרנט של הדברים"" ושואפת בחזון החברתי שלה לשלב מתכנתים מהחברה הבדואית בתעשיית ההייטק. קודם לכן הוא עבד בצוות הפיננסי של חברת פרוקטר אנד גאמבל (P&G) ובהמשך התמחה במחלקה המסחרית של משרד עורכי הדין גולדפרב-זליגמן ושימש כיועץ בכיר במחלקת הייעוץ האסטרטגי, מיזוגים ורכישות של משרד רואי החשבון סומך-חייקין KPMG. עותמאן הוא אחד משלושים הצעירים המבטיחים מתחת לגיל 30 של מגזין פורבס  וכיום הוא גם מרצה באוניברסיטת בן-גוריון."
סאלח אלשנארנה,מנהל מרכז מחוננים ומצטיינים חורה,"סאלח הוא מנהל אגף חינוך - מועצה מקומית חורה. היה מורה למתמטיקה בשנים 2000-2015, מנהל מרכז מחוננים בשנים 2014-2022, מנהל מרכז צעירים בשנים 2016-2022 ומנהל אגף חינוך חורה החל משנת 2022."
ארז אמבר,ראש מינהל החינוך במטה יהודה,"ארז מונה למנהל אגף החינוך בעיר אריאל תוך כדי לימודיו בתוכנית העמיתים של מכון מנדל למנהיגות חינוכית. הוא חנך מנהלים בתוכנית אבני ראשה ובמשך שש שנים ניהל את בית הספר העל יסודי רעות בירושלים. בתפקידו הקודם ניהל את פנימיית בויאר בירושלים גם כן שש שנים, והיה אחראי על ביטחונם, רווחתם וחינוכם הלימודי-ערכי של כ-300 חניכים מכיתה ז‘ עד י""ב. במהלך שירותו הצבאי ביצע תפקידים בכירים כולל בשייטת 13. ארז שימש כמפקד בית הספר ללוחמה זעירה ביחידת אגוז, עבד מול יחידות מיוחדות מקבילות בארץ ובעולם והוביל כוחות בפעילויות מבצעיות במלחמת לבנון השנייה."
יחיאל אמויאל,"מנכ""ל מרכזי כיוון לתעסוקת חרדים, קרן קמח וBDO","יזם חברתי שפועל ב15 השנים האחרונות לשילוב חרדים בשוק העבודה, להכוונה מקצועית והשמה, ומאמין שדרך עולם העבודה ניתן לבנות גשרים ושיח בחברה הישראלית.
מנסה ברגישות לאזן בין צורכי הפרט והפיתוח האישי של המשתתפים החרדים למנועי הצמיחה וצורכי המשק הישראלי. בעשור האחרון מוביל את מרכז ""כיוון"" לפעילות עם אלפי משתתפים בכל שנה ופיתוח כלים נוספים המאפשרים מתן פתרונות וקידום הצלחות של השמה מקצועית בשיתופי פעולה עם כלל הגורמים.
בשנה וחצי האחרונות מוביל מרכזים בסובב ירושלים והצפון"
חדווה אמונה,מנהלת מחוז דרום בשירותי בריאות כללית,"מנהלת מחוז דרום בכללית , בעבר ניהלה מס' תחומים בכללית כולל ניהול במחוז מרכז בתחום האדמינס' בוגרת תואר שני במנהל עסקים ותוכנית ענבר ב'"
גלי אמיר,"מנהלת תחום בכיר, אגף שכר והסכמי עבודה, משרד האוצר","גלי היא כלכלנית באגף השכר והסכמי עבודה במשרד האוצר. אחראית על הסכמי שכר ואסדרות שכר בכלל גופי השלטון המקומי: רשויות מקומיות, מועצות דתיות, חברות עירוניות ועוד."
אילאיל אמיר-כסיף,מנהלת מרכז אדמונד דה רוטשילד לחיבור השכלה גבוהה תעסוקה,"אילאיל נשואה ואמא לשלושה. מייסדת ומנהלת של מרכז אדמונד דה רוטשילד לחיבור השכלה גבוהה-תעסוקה, שקם במטרה לבסס גשר בין השכלה גבוהה לעולם התעסוקה המשתנה באמצעות פיתוח תשתיות וקידום מדיניות. לפני כן ניהלה את תחום מיצוי השכלה גבוהה  בקרן אדמונד דה רוטשילד, ובמסגרת זו עסקה בפיתוח ותמיכה בתוכניות העוסקות ברצף שבין הנגשת השכלה גבוהה, צמצום נשירה וחיבור בין השכלה לתעסוקה הולמת. 
בין השנים 2015-2005 שימשה כפרקליטה במחלקת הבג""צים בפרקליטות המדינה וייצגה את המדינה בעתירות לבג""ץ במגוון נושאים. 
החל מ-2018 אילאיל משמשת כחברת מועצה בכוכב יאיר-צור יגאל. 
 שירתה בצה""ל כמדריכת בית ספר שדה של החברה להגנת הטבע ולפני כן התנדבה במסגרת שנת שירות בכפר הנוער קדמה."
ורד אמר,מלווה תהליכי שינוי אסטרטגיים ובניית שותפויות רב מגזריות בארגונים ורשויות,"אדריכלית, מנחת קבוצות ומומחית בליווי תהליכי שינוי אזוריים ובניית שותפויות רב-מגזריות. בעלת ניסיון של למעלה משני עשורים בתפקידי ניהול בכירים בשלטון המקומי ובמגזר החברתי, עם התמחות בפיתוח מנהיגות, תכנון אסטרטגי והובלת רשתות מקצועיות.
בשנים האחרונות ניהלה את ""מעוז צפון"", והובילה את השלוחה הצפונית של הארגון – בליווי מהלכי שינוי אזוריים והכשרה של עשרות ארגונים ורשויות. 
שימשה כמנכ""לית המועצה המקומית כפר ורדים ודירקטורית באשכול רשויות, לאחר כהונה כמנהלת אגף החינוך ברשות - בתפקיד זה זכתה בפרס החינוך היישובי הארצי. 
לאורך השנים הובילה פרויקטים אזוריים ואסטרטגיים, ושימשה יועצת ומנהלת פרויקטים למשרד הפנים, מרכז השלטון המקומי, קרנות פילנתרופיות ורשויות מקומיות – בעיקר בתחומי פיתוח מנהיגות והכשרת מנהלים בשלטון המקומי. בין תפקידיה הבולטים: ראש מנהלת ההקמה של קמפוס חינוכי-קהילתי  – שותפות תלת מגזרית לבניית מחוללי צמיחה אזורית במרום הגליל.

בעלת תואר B.Arch מבצלאל, תואר שני בלימודי סביבה וחברה מאוניברסיטת תל אביב (בהצטיינות), תעודת הוראה לחטיבה העליונה, קורס מנהלי בתי ספר, וקורס הנחיית קבוצות פסיכודינמי. בוגרת מנדל, מעוז, Harvard Business School ו־INSEAD, וחברה פעילה במועצת העם היהודי (VOP)."
יואל אנג׳ל,סגן מנהל בית החולים אסותא רמת החייל,"יואל הוא רופא מומחה בפנימית, טיפול נמרץ ומנהל רפואי. 

משמש כסגן מנהל בית החולים אסותא רמת החייל מאז 2026. 

קודם לכן עבד כעשר שנים במרכז הרפואי ת״א ע״ש סוראסקי (איכילוב) בתפקידים קליניים וניהוליים, ובתפקידו האחרון שימש כראש רשות ההוראה וההכשרה. 

בתפקידיו באיכילוב הוביל מספר פרוייקטים עבור רופאים ורופאות בדגש על מחוברות ארגונית. בין היתר, היה אחראי על הסטאז׳ במרכז הרפואי; ייסד והוביל את צוות ה-Fellowship של בית החולים וכן את פעילויות בית החולים בתחום גיוס רופאות ורופאים עולים. 

יואל היה שותף למספר ועדות לאומיות - ריכז מספר פעמים צוותים ב״כנס ים המלח״, את ועדת היישום לבחינת קיצור התורנויות, והשתתף בועדה לרפורמה בסטאז׳. 

בנוסף, יואל חוקר ומלמד מדיניות בריאות באוניברסיטת תל אביב."
חתונה אנוכשוילי,רכזת שעת חרום בחטיבת הקהילה ופרוייקטורית של כללית במנהלות תקומה ותנופה,"החל משנת 2017 אני משמשת כמנהלת סיעוד מחוז מרכז, כללית . במסגרת תפקידי משמשת כממונה על ניהול מקצועי וארגוני, בקרה, פיתוח וקידום של שירותי הסיעוד הניתנים למעל 630,000 מבוטחי המחוז. לפני כן והחל משנת 2010 הייתי מנהלת סיעוד מנהלת מור""ל , במחוז מרכז. ועוד קודם לכן הייתי מנהלת סיעוד במרפאה ראשונית גדולה ומורכבת באשדוד ובמקביל עסקתי בהדרכה קלינית של סטודנטים לסיעוד וגם יועצת בתחום הפצעים ביחידת ""עורית"". את הקריירה המקצועית שלי בארץ התחלתי בתור אחות במרפאה. 
חברת וועדה לטיפול בשחיקה, חברת וועדת אתיקה המחוזית."
רים אסדי,גזברית אשכול גליל ועמקים,"רים היא גזברית אשכול גליל ועמקים. לפני כן הייתה גזברית המועצה המקומית עוספיא ובמסגרת תפקידה הייתה אחראית על ניהול ענייניה הכספיים של הרשות, כולל הכנת התקציב, ניהול מערכת החשבונות, הכנת הדוחות הכספיים, פיקוח על שמירת מסגרת התקציב, קופת המועצה וחתימה על חוזים ועל התחייבויות כספיות. קודם לכן עבדה שש שנים במשרד רו""ח אעלימי לואי והתמקדה בתחום הכספי ברשויות המקומיות. בעבר עבדה רים כיועצת כלכלית חיצונית במרכז היהודי-הערבי לפיתוח כלכלי מטעם קרן ההלוואות לעסקים בינוניים וקטנים."
הייפא אסדי,מנהלת מחלקת בריאות וסביבה במועצה המקומית דיר אלאסד,"הייפא היא מנהלת אגף שפ""ע במועצה המקומית דיר אלאסד. בתפקידה הקודם ניהלה את מחלקת התברואה במועצה. 15 שנים היא מנהלת מחלקת רישוי עסקים ו-15 שנים אחראית פיקוח סביבתי ברשות. עשר שנים היא יועצת לקידום מעמד האישה ומקדמת פרויקטים של העצמת נשים, ועשר שנים דירקטורית באשכול בית הכרם וחברת ועדת המכרזים. כמו כן היא חברת הנהלה באיגוד יועצות לקידום מעמד האישה, חברה במועצת נשות העסקים הטורקית, חברת הנהלת במועצת פורסאן אלסלאם בירדן וחברת הנהלה באיגוד היועצות הערביות."
שירה שאטו אסולין,"סמנכ""לית מנהל והון אנושי","עוסקת בתחום ההון האנושי מעל 17 שנים מרביתם בשירות המדינה. התחלתי את עבודתי בשירות המדינה בנציבות שירות המדינה שם עבדתי כרפרנטית למשרדי הממשלה, עיקר עיסוקי היה ביעוץ ומתן פתרונות להתאמת מבנה ארגוני של יחידות ומשרדים לאתגרים המשתנים, מתן פתרונות לסוגיות פרטניות וייצוג המדינה בסכסוכי עבודה. בתום חמש שנים עזבתי את שירות המדינה תחילה לתכנית מנדל למנהיגות חינוכית למשך שנתיים ולאחר מכן החלתי לעבוד בעמותת אלומה בניהול תכנית""זינוק בעלייה"" שעסקה במיצומ פוטנציל בני נוער יוצאי אתיופיה לשירות משמעותי. התכנית היתה בפריסה ארצית ועסקנו בפתיחת חסמים אל מול הצבא, הרחבת המידעים לאופציות הקיימות לשירות משמעותי בקרב בני הנוער ובני המשפחות ועוד. בתום שלוש נים חזרתי לשירות המדינה למשרד לשירותי דת תחילה כמנהל. אגף הון אנושי ולאחר מכן כסמנכ""לית, במשרד זה עסקתי בעיקר בהסדרת המבנה הארגוני והתאמתו לייעוד המשרד והטמעת שינוי בתהליכי עבודה כך שעיקר העיסוק יהיה ברגולציה על המועצות הדתיות וגופי הקבורה. כיום עובדת כסמנכלית מנהל והון אנושי במשרד העבודה מזה כשנה."
אורית אסייאג,"מנהלת אגף החינוך, עירית קרית מוצקין.","אורית ניהלה את מינהל החינוך בעירית עכו למעלה  מ-17 שנים והיא היתה אמונה על קידום תחום החינוך ומערכות החינוך בעיר, תחום פורמלי ואפורמלי, מגילאי לידה ועד הגיוס לצה״ל. לפני כן שימשה בתפקיד רוחב בחברה למתנסים וכן ניהלה שלוחת מתנס. אורית משמשת למעלה מ-6 שנים כיו״ר דירקטוריון תאגיד מים וביוב ״מי עכו״ וכן חברת דירקטוריון בחברה למרכזים קהילתיים. בימים אלו אורית החלה באתגר החדש, ניהול אגף החינוך בעירית קרית מוצקין. אורית אף לומדת בימים אלו תואר שני נוסף ביועץ ופיתוח ארגוני ואף לומדת צילום באופן אקדמי."
רויטל אסייג,"סמנכ""לית תפעול ראשית בעמותת תפוח Applesedds","רויטל היא סמנכ""לית תפעול ראשית בעמותת תפוח Applesedds. היא פעילה כבר שני עשורים בתחום התעסוקה וההכשרות במגזר העסקי והחברתי ובשנים האחרונות מתמחה בפיתוח ובהטמעת מודלים ותהליכים להכשרה ולתעסוקה בדגש על חיבור ויצירת ממשק בין המגזר העסקי למשרדי הממשלה."
